Município,Acesso e Qualidade da Mão de Obra Básica,Acesso e Qualidade da Mão de Obra Qualificada,Capital Disponível,Clientes Potenciais,Complexidade Burocrática,Condições Urbanas,Desenvolvimento Econômico,Índice de Acesso a Capital,Índice de Ambiente Regulatório,Índice de Capital Humano,Índice de Cultura,Índice de Infraestrutura,Índice de Inovação,Índice de Mercado,Iniciativa, Inputs,Inputs,Instituições,Outputs,Tempo de Processos,Transporte Interurbano,Tributação,Capital Humano,Acesso a Capital,Mercado,Ambiente Regulatório,Infraestrutura,Cultura,Inovação,Fator 1,Fator 2,Fator 3,ICE 2023
São Paulo,-0.8537590611857091,-0.455166784915529,0.3601781213048083,8.70921993846489,-0.573548201133607,-0.6559166731041751,-0.5739624247335987,-0.14354478337053295,-0.14353856411896693,-0.1435396364037197,-0.1435396364037197,-0.1435449978274835,-0.14353856411896693,-0.14353856411896693,-0.5729680950823632,0.20644692258973266,-0.7143115850839523,-0.7159924986623811,-0.717614114893982,-0.572773475399737,-0.5736813788999,-0.7176127209238033,-1.4524654825049579,0.21663333793427536,7.991718949612324,-2.007472961576114,-1.3731430498315587,-1.432500230148464,-1.3690173415071687,0.0,0.0,0.0,0.0
Rio de Janeiro,-0.8318287753783531,-0.46790804497810023,0.06696389910588474,8.64230277356607,-0.5538419583009764,-0.6539565440213463,-0.5510322807172007,-0.13983230204365008,-0.139822610975202,-0.13984429436779322,-0.13984480492892243,-0.13984994678046153,-0.13983325494897264,-0.13984074495535018,-0.5582868661856061,-0.0957287473068418,-0.6969306149630698,-0.6978063935784193,-0.6993508612461352,-0.5581284195614369,-0.10677338613461532,-0.6993950818089054,-1.4395811147242465,-0.07286840293776534,7.9514297478935205,-1.9511880706465208,-0.9005798769364232,-1.3959380646929478,-1.6318434784650195,0.0,0.0,0.0,0.0
Mafra,-0.9317723796467243,-0.4744324186077039,-0.14854521252639236,8.856481685615838,-0.6288314127295047,-0.7860454130937276,-0.6110382810369734,-0.15723062052254982,-0.15723062052254982,-0.15723062052254982,-0.15723062052254982,-0.15723062052254982,-0.15723062052254982,-0.15723062052254982,-0.6274653723190841,1.4755897411574814,-0.7861501428585265,-0.7846276908211127,-0.7861355717608154,-0.6269462769631242,-0.6246422221375483,-0.7859022065240351,-1.563435418776978,-0.3057758330489422,8.088212784056315,-2.198910516739214,-1.5679182557538256,-1.5693236836627467,-0.2539265939844102,0.0,0.0,0.0,0.0
Bela Vista do Toldo,-0.8876117555343752,-0.5921930267715213,-0.4436097327343858,8.036873364335278,-0.5920720462109736,-0.7402296256341063,-0.5866376222576904,-0.14805469703269386,-0.14805469703269386,-0.14805469703269386,-0.14805469703269386,-0.14805469703269386,-0.14805469703269386,-0.14805469703269386,-0.5922187881307754,2.1695359061687123,-0.7402734851634694,-0.7402734851634694,-0.7402734851634694,-0.5922187881307754,-0.5900095070048701,-0.740186255244476,-1.6278594793385905,-0.5916644297670797,7.302181045044894,-2.072531786618919,-1.4782938296716703,-1.4805469703269387,0.5409342388090796,0.0,0.0,0.0,0.0
Canoinhas,-0.7751432132633602,-0.4510288313378147,-0.281369744385196,0.21107429759364124,-0.517429765704954,-0.6467488714617753,-0.510087860495666,-0.12936224539483712,-0.12936224539483712,-0.12936224539483712,-0.12936224539483712,-0.12936224539483712,-0.12936224539483712,-0.12936224539483712,-0.51688211328471,8.528413087205562,-0.6468112269741856,-0.646273182491139,-0.6468045014181475,-0.5166132832019306,-0.5146338559805506,-0.646676235456564,-1.3555342899960119,-0.4107319897800331,-0.42837580829686184,-1.8100815297582857,-1.290744972837163,-1.2925175411706862,7.105435113418392,0.0,0.0,0.0,0.0
Irineópolis,-0.7286919815278835,-0.46795504224669726,-0.3484175234752826,8.326362127288359,-0.48591445589842275,-0.6075052407477772,-0.4833958173039149,-0.12150353673314929,-0.12150353673314929,-0.12150353673314929,-0.12150353673314929,-0.12150353673314929,-0.12150353673314929,-0.12150353673314929,-0.48601414693259715,0.019215194865279065,-0.6075176836657464,-0.6075176836657464,-0.6075176836657464,-0.48601414693259715,-0.48510215858292777,-0.6074748534436567,-1.3181505605077302,-0.4699210602084319,7.721462773251295,-1.7009069930078258,-1.2141109360638542,-1.2150353673314929,-1.3173237091993633,0.0,0.0,0.0,0.0
Itaiópolis,-0.9801549029078069,-0.5524303532216626,-0.36056225523096475,8.328947958009282,-0.6540750942642326,-0.8179301286700991,-0.6424398725883255,-0.1635933508839062,-0.1635933508839062,-0.1635933508839062,-0.1635933508839062,-0.1635933508839062,-0.1635933508839062,-0.1635933508839062,-0.6543734035356248,2.7080619572526667,-0.817966754419531,-0.817966754419531,-0.817966754419531,-0.6529721785969465,-0.6508599832281166,-0.8177846200366088,-1.6961786070133757,-0.5241556061148709,7.52291473453705,-2.288425243781694,-1.6323834627821219,-1.635933508839062,0.9085350975296986,0.0,0.0,0.0,0.0
Major Vieira,-0.7904037487853652,-0.4726813187979053,-0.3565980559617631,8.580057233519684,-0.5276096784313359,-0.6595528212950398,-0.5275133546929933,-0.13192133133656614,-0.13192133133656614,-0.13192133133656614,-0.13192133133656614,-0.13192133133656614,-0.13192133133656614,-0.13192133133656614,-0.5276853253462646,0.42345310243141293,-0.6596066566828307,-0.6596066566828307,-0.6596066566828307,-0.5276853253462646,-0.5243568610894032,-0.6594692314540436,-1.3950063989198367,-0.4885193872983292,7.920622547490123,-1.84668556656821,-1.315831013721009,-1.3192133133656614,-1.0276815422708145,0.0,0.0,0.0,0.0
Monte Castelo,-1.031513610897033,-0.6479607483215652,-0.4822580368176115,5.538944716242955,-0.6881425388077022,-0.860343243311734,-0.6806224174008492,-0.17208342398387047,-0.17208342398387047,-0.17208342398387047,-0.17208342398387047,-0.17208342398387047,-0.17208342398387047,-0.17208342398387047,-0.6883336959354819,6.248547162028012,-0.8604171199193523,-0.8604171199193523,-0.8604171199193523,-0.6883336959354819,-0.685545050777284,-0.8602698164855926,-1.8515577832024688,-0.6543414608014819,4.686238874858234,-2.408829475212647,-1.7179717180728884,-1.7208342398387046,4.3556294982054355,0.0,0.0,0.0,0.0
Papanduva,-0.7251565465329592,-0.45767788696812267,-0.33604967122172585,-0.1977267363642709,-0.48358832419005554,-0.6045666801584237,-0.4809591899234786,-0.12091594709228044,-0.12091594709228044,-0.12091594709228044,-0.12091594709228044,-0.12091594709228044,-0.12091594709228044,-0.12091594709228044,-0.483460035085643,8.483658301272609,-0.6045797354614022,-0.6045797354614022,-0.6045746416293153,-0.4833139741670604,-0.48282613598148694,-0.604523590112177,-1.3037503805933623,-0.4569656183140063,-0.79960187338003,-1.6923418355615734,-1.2083087632321912,-1.2089557176393257,7.153587977089611,0.0,0.0,0.0,0.0
