Cidade,Factor1,Factor2,Factor3
Mafra,-2.4842620000000002,-1.6199509999999999,0.8293460000000000
Bela Vista do Toldo,-2.916568000000000,-2.1053899999999999,0.1623270000000000
Canoinhas,-1.7168270000000001,-1.4485550000000000,0.4971540000000000
Irineópolis,2.901325000000000,-2.2189960000000002,0.062352999999999999
Itaiópolis,-2.5355759999999998,-1.8263959999999999,0.6071600000000000
Major Vieira,-3.201372000000000,-2.003488000000000,0.8842140000000001
Monte Castelo,5.352249000000000,-4.418528000000000,4.30196400000000
Papanduva,-2.4113989999999998,-0.9319260000000000,-0.11723699999999999
Porto União,-2.460105000000000,-1.4598830000000000,2.213224000000000
 Três Barras,-2.791018000000000,-1.6738610000000000,2.8027940000000000
São Paulo,1.0128070000000000,0.695358000000000,4.865713000000000
Rio de Janeiro,0.5062300000000000,0.9845550000000000,0.9459660000000000
Brasília,0.27012300000000000,1.129538000000000,0.902954000000000
Salvador,0.9528790000000000,0.13533700000000001,-0.707812000000000
Fortaleza,0.7098449999999999,0.21007700000000001,-0.7214950000000000
Belo Horizonte,0.7589920000000000,0.6426650000000000,2.1623049999999999
Manaus,-0.5782870000000000,0.8805269999999999,-0.45476800000000001
Curitiba,-0.004844000000000000,1.4015780000000000,3.0071859999999999
Recife,1.0984149999999999,0.5728620000000000,-0.2565030000000000
Goiânia,0.8531990000000000,0.13790500000000000,-0.20789900000000000
Belém,-0.23530799999999999,1.0190100000000000,-0.5505330000000001
Porto Alegre,0.23103699999999999,1.0092600000000000,2.1501320000000002
Guarulhos,0.18004500000000001,0.11810900000000001,0.11101800000000001
Campinas,1.1403909999999999,1.2696580000000000,0.05876000000000000
São Luís,0.1692120000000000,0.5093120000000000,-0.7224370000000000
São Gonçalo,0.0002840000000000000,-0.715282000000000,-0.5928639999999999
Maceió,0.16783600000000001,-0.2581740000000000,-0.8250550000000000
Duque de Caxias,-0.03879800000000000,-0.25402500000000000,-0.36544300000000002
Campo Grande,-0.0664180000000000,0.1505730000000000,-0.14925300000000000
Natal,-0.36057600000000001,0.33004400000000000,-0.09583200000000000
Teresina,0.7267390000000000,-0.2979950000000000,-0.7461600000000000
São Bernardo do Campo,0.21505600000000000,0.9371119999999999,0.44054900000000002
João Pessoa,0.7307110000000000,0.25635599999999997,-0.9132290000000000
Nova Iguaçu,0.5424780000000000,-0.964937000000000,-0.8042510000000000
São José dos Campos,-0.025933000000000001,1.4800320000000000,-0.2544130000000000
Santo André,0.059639999999999999,0.8514400000000000,0.15639300000000000
Ribeirão Preto,0.19698099999999999,0.6940809999999999,0.09028000000000000
