Determinante,Subdeterminante,Nome do indicador,Fonte,Unidade de medida,Período,Mafra,Bela Vista do Toldo,Canoinhas,Irineópolis,Itaiópolis,Major Vieira,Monte Castelo,Papanduva,Porto União, Três Barras,São Paulo,Rio de Janeiro,Brasília,Salvador,Fortaleza,Belo Horizonte,Manaus,Curitiba,Recife,Goiânia,Belém,Porto Alegre,Guarulhos,Campinas,São Luís,São Gonçalo,Maceió,Duque de Caxias,Campo Grande,Natal,Teresina,São Bernardo do Campo,João Pessoa,Nova Iguaçu,São José dos Campos,Santo André,Ribeirão Preto,Jaboatão dos Guararapes,Uberlândia,Osasco,Sorocaba,Contagem,Aracaju,Feira de Santana,Cuiabá,Joinville,Aparecida de Goiânia,Londrina,Juiz de Fora,Porto Velho,Ananindeua,Serra,Caxias do Sul,Macapá,Niterói,Florianópolis,Belford Roxo,Campos dos Goytacazes,Vila Velha,Mauá,São João de Meriti,São José do Rio Preto,Mogi das Cruzes,Betim,Boa Vista,Maringá,Santos,Diadema,Jundiaí,Rio Branco,Montes Claros,Campina Grande,Piracicaba,Carapicuíba,Anápolis,Olinda,Cariacica,Bauru,Itaquaquecetuba,São Vicente,Vitória,Caruaru,Caucaia,Blumenau,Petrolina,Ponta Grossa,Franca,Canoas,Pelotas,Vitória da Conquista,Ribeirão das Neves,Uberaba,Paulista,Praia Grande,Cascavel,São José dos Pinhais,Guarujá,Taubaté,Palmas,Limeira,Camaçari,Santarém,Petrópolis,Mossoró,Suzano,Taboão da Serra,Várzea Grande,Sumaré,Marabá,Gravataí,Santa Maria
Capital Humano,Acesso e Qualidade da Mão de Obra Básica,Nota do Ideb,INEP,Índice,2019,5.4,0,5.85,6,5.25,5.45,5.25,5.55,5.15,4.7,"4,9","4,9","4,6","3,7","5,1","4,7","4,8",5,"4,8","5,4","4,1",4,5,"5,2","4,2","3,6","4,2","3,8","4,9","3,4","5,6","5,6","4,2","3,8","5,7","5,2","4,8","4,5","4,8","4,8","5,5","4,7","3,7","3,6","4,3","5,8","4,7","5,3","4,2","4,4","4,3","4,5","4,7","3,8","3,8","4,5","3,8","3,6","4,6","5,3","3,7","5,3",5,"5,1","4,3","5,2","5,3","5,4","5,6","4,8","4,9","4,1","5,5",5,"5,5","4,4","4,3","4,9","4,8","4,9","4,6","4,8","4,2","4,9",5,"4,8","5,6","4,2","4,4","4,5","4,2","5,1","4,2","5,4",5,"4,9","5,2","5,6","5,4","5,4","4,2","4,6","4,2","3,9","5,2","5,3","4,3","5,2","4,3","4,4","4,5"
Capital Humano,Acesso e Qualidade da Mão de Obra Básica,Proporção de Adultos com pelo menos o Ensino Médio Completo,INEP,% de pessoas,2021,22.63,10.80,25.69,12.58,15.62,13.42,22.63,14.70,23.45,2275.00,"56,56%","55,68%","49,62%","53,91%","28,10%","53,20%","48,06%","54,64%","53,02%","47,67%","53,41%","54,39%","59,58%","59,90%","58,56%","58,15%","49,79%","53,06%","53,83%","52,67%","49,94%","63,66%","52,28%","55,58%","60,31%","64,38%","60,03%","50,13%","52,73%","61,45%","61,12%","55,16%","53,14%","53,47%","55,74%","58,46%","41,67%","49,96%","50,24%","48,69%","52,02%","50,45%","54,35%","52,17%","56,18%","53,24%","47,73%","53,27%","54,54%","62,53%","54,37%","60,01%","61,22%","51,67%","54,48%","52,82%","60,26%","58,01%","59,88%","43,68%","55,28%","47,25%","59,77%","56,44%","42,20%","54,94%","46,87%","59,39%","53,47%","57,23%","53,01%","47,08%","27,00%","50,94%","46,16%","52,46%","58,51%","57,58%","49,17%","44,41%","38,90%","50,32%","57,96%","56,42%","51,14%","55,44%","56,02%","61,52%","54,11%","60,19%","55,72%","51,09%","53,10%","48,53%","65,10%","56,91%","51,86%","56,59%","47,55%","56,33%","51,79%"
Capital Humano,Acesso e Qualidade da Mão de Obra Básica,Nota Média no ENEM,INEP,Índice,2021,403,0,0,0,0,0,"0,00",0,365,0,"566,06","571,78","550,35","553,64","527,88","601,85","496,05","571,53","561,62","570,41","542,61","582,98","541,71","583,56","536,97","541,37","547,78","530,93","551,85","576,24","568,27","575,63","562,78","533,53","589,98","565,5","584,62","514,2","572,53","552,58","563,51","567,33","563,56","547,66","553,77","569,47","522,6","567,23","591,84","516,78","522,11","535,09","573,47",512,"586,14","593,74","491,1","556,06","563,83","531,32","525,93","584,84","566,85","554,46","515,72","553,49","566,01","534,1","578,3","522,83","579,29","557,85","580,94","520,44","551,52","537,16","524,2","568,6","519,21","525,97","585,22","551,97","479,64","566,07","535,49","549,8","566,73","557,04","556,98","546,2","540,29","574,68","521,07","534,43","548,34","538,76","540,98","577,91","540,19","583,35","519,39","528,4","569,18","551,55","547,1","544,77","507,25","526,66","523,19","552,61","573,11"
Capital Humano,Acesso e Qualidade da Mão de Obra Básica,Taxa Líquida de Matrícula no Ensino Médio,INEP e IBGE,% de jovens,2021,78.11,77.08,72.25,70.47,63.89,70.15,59.71,69.63,75.31,0,"76,41%","76,40%","73,78%","78,64%","67,67%","68,02%","81,55%","65,51%","73,51%","65,30%","75,81%","62,76%","78,01%","70,70%","71,09%","45,27%","58,93%","67,38%","72,87%","66,21%","80,10%","75,84%","66,71%","74,43%","68,68%","83,63%","68,76%","55,37%","63,63%","90,33%","76,06%","54,24%","70,06%","75,20%","80,76%","70,03%","62,99%","67,87%","61,15%","62,24%","70,00%","54,63%","59,33%","56,57%","93,81%","81,90%","45,63%","64,68%","60,58%","59,58%","72,76%","77,00%","71,50%","55,97%","64,38%","59,59%","90,10%","73,33%","93,54%","66,22%","63,40%","68,40%","82,57%","73,31%","72,85%","62,49%","53,72%","78,40%","70,39%","59,25%","93,48%","57,85%","49,69%","68,55%","77,36%","66,26%","63,73%","66,64%","68,10%","83,54%","57,36%","64,68%","60,64%","80,62%","63,59%","57,16%","67,96%","74,26%","72,69%","70,73%","90,69%","91,56%","57,78%","64,51%","86,30%","79,91%","75,10%","61,78%","71,68%","60,91%","63,03%"
Capital Humano,Acesso e Qualidade da Mão de Obra Básica,Proporção de Matriculados no Ensino Técnico e Profissionalizante,INEP e IBGE,% de jovens,2021,0.86,0,3.44,0.12,0.03,0.15,0.18,0,1.61,0.20,"1,53%","1,12%","1,18%","1,51%","1,26%","1,15%","0,69%","1,56%","4,34%","0,64%","1,30%","3,39%","0,43%","1,11%","1,97%","0,61%","1,49%","2,12%","1,18%","2,11%","2,11%","1,19%","1,68%","1,67%","1,25%","1,33%","0,85%","0,64%","0,67%","0,89%","1,85%","0,71%","1,14%","1,23%","0,90%","1,84%","0,36%","1,06%","0,47%","0,71%","0,64%","1,54%","1,13%","0,73%","1,00%","4,32%","0,34%","1,79%","1,15%","0,59%","0,89%","0,96%","1,16%","0,82%","1,04%","0,70%","1,37%","0,88%","1,89%","1,11%","0,71%","1,53%","1,33%","0,53%","0,66%","0,69%","1,43%","1,14%","0,65%","0,59%","2,76%","1,53%","0,52%","0,86%","1,18%","1,54%","1,16%","0,78%","2,83%","1,10%","0,27%","0,82%","1,06%","0,96%","1,51%","0,76%","0,92%","1,38%","0,68%","1,77%","1,80%","1,15%","0,89%","2,89%","1,10%","0,99%","0,30%","0,65%","1,00%","0,96%","2,39%"
Capital Humano,Acesso e Qualidade da Mão de Obra Básica,Índice de Acesso e Qualidade da Mão de Obra Básica,,,,0,0,0,0,0,0,"0,00",0,0,0,"6,8058","6,6569","5,8445","5,9073","4,5679","6,5668","5,1885","6,5112","7,6625","5,9514","5,7789","6,8175","6,267","7,0138","6,1727","4,4852","5,2798","5,5431","6,2205","5,8545","7,2528","7,5169","5,9265","5,7247","7,3914","7,5023","6,6382","4,5393","5,8669","6,9754","7,4675","5,5954","5,5698","5,5214","6,1281","7,3856","4,4361","6,2334","5,4979","4,6856","5,0814","5,2001","5,9781","4,3038","6,7437","8,1766","3,2959","5,5443","5,8528","5,9476","5,1164","7,2196","6,7982","5,5736","5,1259","5,735","7,5704","6,361","8,2097","5,0288","6,153","5,5319","7,5996","5,7268","5,721","5,2721","4,6886","6,8752","5,4105","5,3744","7,78","5,5074","2,5073","5,9828","5,8065","6,0208","6,7482","5,7229","6,3508","5,7316","4,0371","6,0374","5,212","6,5419","5,9506","5,4618","6,0882","7,4718","6,1314","7,4265","6,3282","6,1667","5,4261","5,8854","7,2784","6,6372","4,8833","5,6221","5,0744","5,616","6,3986"
Capital Humano,Acesso e Qualidade da Mão de Obra Qualificada,Proporção de Adultos com pelo menos os Ensino Superior Completo,INEP,% pessoas,2021,9.65,3.16,10.68,6.39,7.72,4.73,9.65,5.33,15.47,7.13,"40,54%","35,87%","39,08%","27,91%","12,19%","42,10%","16,57%","44,92%","32,96%","29,46%","27,56%","42,95%","27,54%","45,69%","26,43%","19,63%","28,47%","15,78%","34,81%","31,30%","29,61%","39,24%","32,44%","20,58%","42,31%","41,96%","42,99%","14,20%","35,37%","34,97%","36,61%","24,76%","30,71%","21,11%","41,42%","33,10%","12,86%","41,04%","37,77%","26,18%","17,80%","18,57%","28,44%","32,47%","44,74%","50,23%","8,15%","26,49%","30,17%","23,62%","14,68%","40,10%","39,14%","20,47%","29,71%","38,30%","44,43%","20,04%","43,40%","28,01%","37,03%","23,42%","36,10%","18,53%","19,50%","25,39%","15,00%","41,94%","17,19%","23,65%","39,58%","21,43%","2,93%","36,01%","22,77%","31,83%","36,11%","26,23%","30,03%","21,33%","14,77%","30,96%","16,65%","22,31%","35,92%","21,16%","24,15%","40,25%","37,03%","34,00%","11,55%","23,77%","27,64%","21,97%","26,37%","26,69%","20,95%","18,67%","18,74%","20,74%","33,87%"
Capital Humano,Acesso e Qualidade da Mão de Obra Qualificada,Proporção de Alunos Concluintes em Cursos de Alta Qualidade,INEP,% alunos,2021,0,0,0,0,0,0,"0,00",0,0,0,"16,82%","29,25%","33,99%","24,44%","29,19%","43,22%","10,21%","22,32%","25,68%","22,27%","18,92%","51,63%","8,00%","39,65%","14,58%","0,56%","14,04%","8,09%","11,77%","28,32%","19,11%","36,21%","23,10%","10,20%","29,46%","23,30%","12,78%","1,16%","44,42%","17,07%","25,62%","17,10%","5,71%","30,97%","18,04%","38,90%","13,77%","11,10%","49,22%","12,52%","3,19%","44,88%","30,89%","7,02%","34,65%","72,07%","0,00%","23,33%","59,01%","17,46%","0,00%","17,18%","18,39%","20,96%","7,94%","24,03%","9,14%","28,90%","14,66%","16,37%","10,13%","29,36%","16,23%","0,00%","18,29%","4,11%","41,63%","38,73%","5,80%","4,19%","56,04%","17,56%","0,00%","19,50%","18,54%","34,47%","16,29%","12,94%","37,69%","19,92%","0,00%","16,51%","0,00%","28,23%","29,76%","41,06%","4,61%","6,75%","18,10%","43,30%","20,89%","3,62%","15,43%","16,06%","15,61%","16,76%","20,78%","0,00%","13,76%","23,40%","59,04%"
Capital Humano,Acesso e Qualidade da Mão de Obra Qualificada,Custo Médio de Salários de Dirigentes,RAIS (ME),R$,2020,   6775.95   ,0,  6902.37 ,     4884.68 ,     6143.53 ,     4357.96 ,     3580.80 ,     6881.62 ,     4849.77 ,     14219.21 ,"R$ 11.044,57","R$ 8.535,63","R$ 6.234,38","R$ 5.490,47","R$ 4.173,03","R$ 5.902,23","R$ 5.868,26","R$ 6.551,38","R$ 5.330,13","R$ 4.908,82","R$ 4.973,78","R$ 6.400,92","R$ 7.253,66","R$ 8.214,35","R$ 4.463,39","R$ 4.014,58","R$ 4.496,43","R$ 4.864,31","R$ 4.633,68","R$ 3.650,04","R$ 3.646,37","R$ 9.773,76","R$ 3.784,44","R$ 3.544,28","R$ 7.255,78","R$ 6.154,57","R$ 5.372,36","R$ 5.262,12","R$ 5.271,38","R$ 8.294,51","R$ 7.624,71","R$ 5.323,03","R$ 3.829,70","R$ 3.711,99","R$ 4.807,11","R$ 6.390,61","R$ 4.268,98","R$ 5.082,52","R$ 4.334,69","R$ 4.343,28","R$ 4.041,36","R$ 5.430,61","R$ 5.677,84","R$ 3.343,83","R$ 5.412,62","R$ 5.798,12","R$ 4.078,01","R$ 3.508,86","R$ 3.597,92","R$ 6.869,06","R$ 3.565,66","R$ 4.754,20","R$ 5.147,14","R$ 6.982,72","R$ 3.852,53","R$ 4.786,39","R$ 6.089,98","R$ 7.369,82","R$ 8.823,55","R$ 4.282,19","R$ 3.939,81","R$ 3.439,52","R$ 6.769,91","R$ 4.060,65","R$ 5.308,50","R$ 3.565,63","R$ 3.959,81","R$ 5.138,59","R$ 4.732,34","R$ 4.512,80","R$ 6.026,57","R$ 2.972,75","R$ 3.334,71","R$ 5.938,25","R$ 3.652,73","R$ 5.120,26","R$ 3.757,79","R$ 5.539,48","R$ 4.443,84","R$ 3.458,47","R$ 3.758,83","R$ 4.592,81","R$ 4.120,67","R$ 3.258,34","R$ 4.636,52","R$ 8.558,17","R$ 4.743,58","R$ 6.041,12","R$ 4.442,00","R$ 6.151,78","R$ 7.900,88","R$ 3.436,77","R$ 4.574,58","R$ 2.936,87","R$ 5.823,47","R$ 6.630,56","R$ 4.201,17","R$ 9.623,63","R$ 5.194,22","R$ 6.192,30","R$ 3.952,09"
Capital Humano,Acesso e Qualidade da Mão de Obra Qualificada,Índice de Acesso e Qualidade de Mão de Obra Qualificada,,,,0,0,0,0,0,0,"0,00",0,0,0,"5,2723","5,7822","6,6476","5,802","5,6503","7,3119","4,3884","6,4474","6,2255","6,045","5,7606","7,5645","4,6219","6,8673","5,7647","5,0425","5,8509","4,6369","6,0787","7,1744","6,6957","6,1136","6,9252","5,8574","6,416","6,4114","6,3032","4,0854","7,1654","5,2651","5,8326","5,3688","6,0715","6,6013","6,6601","6,4352","5,002","6,229","7,9587","5,7323","5,0185","6,0824","6,0333","6,6495","7,2916","9,0304","4,2659","6,7927","8,4046","4,851","5,0554","6,5683","6,3828","4,7733","6,0839","6,7221","6,0033","4,9891","5,6099","6,0392","6,5645","6,912","5,5972","4,9207","5,097","5,8882","6,4752","7,3929","4,6933","5,14","7,6419","6,8045","4,5395","5,9519","6,243","6,5994","6,8939","5,2097","6,9449","6,3786","4,9036","6,0551","4,7652","6,9736","6,8829","5,3505","5,0706","5,6612","6,5777","6,7378","4,0357","5,8819","5,8145","6,8212","5,2309","5,0693","5,8318","3,3734","4,9103","5,0894","8,3631"
